airfoil,thickness,thickness_loc,camber,camber_loc,le_radius,te_angle,avg_LD,peak_LD,peak_AoA
naca663418.dat,0.17998,0.455455,0.02206,0.502503,0.033437,,52.1191,92.942,6.0
goe535.dat,0.163085,0.25025,0.057502,0.496496,0.044496,,81.7415,92.9412,7.0
goe318.dat,0.091358,0.286286,0.043324,0.319319,0.031246,,77.0859,92.9412,8.0
s9000.dat,0.090094,0.285285,0.023691,0.415415,0.02498,7.7869,79.4423,92.9047,4.0
goe645.dat,0.156036,0.232232,0.048256,0.391391,0.047423,,78.7574,92.833,6.0
e555.dat,0.160388,0.315315,0.026071,0.651652,0.033011,10.7746,78.121,92.8278,6.0
goe241.dat,0.189757,0.27027,0.084111,0.534535,0.064738,,82.2515,92.618,3.0
e337.dat,0.131159,0.306306,0.032661,0.236236,0.02907,15.1704,64.3776,92.6179,10.0
ag23.dat,0.089001,0.276276,0.021873,0.452452,0.024412,5.7261,74.6971,92.4236,4.0
goe13k.dat,0.148118,0.477477,0.054904,0.563564,0.032729,,43.8311,92.3811,5.0
goe534.dat,0.141244,0.198198,0.052324,0.429429,0.053173,,79.7195,92.3664,6.0
raf26.dat,0.06623,0.305305,0.021381,0.507508,0.021547,,74.9358,92.2801,2.0
sd6060.dat,0.103767,0.346346,0.018455,0.374374,0.021261,7.2709,65.513,92.2636,5.0
fx75193.dat,0.192844,0.414414,0.036691,0.681682,0.031255,11.3585,65.0063,92.242,6.0
goe633.dat,0.13876,0.233233,0.03987,0.36036,0.044201,,52.1488,92.2066,8.0
e180.dat,0.085946,0.318318,0.022426,0.379379,0.019214,5.5367,65.1939,92.1742,5.0
kc135c.dat,0.105951,0.408408,0.016582,0.192192,0.016795,,59.1741,92.1455,4.0
naca4418.dat,0.180245,0.291291,0.040047,0.417417,0.043344,,79.7684,92.1172,6.0
ag25.dat,0.075833,0.251251,0.024004,0.451451,0.02348,4.9391,72.6257,92.0821,4.0
geminism.dat,0.153826,0.334334,0.022022,0.367367,0.029973,22.4447,67.3643,92.049,6.0
raf28.dat,0.098298,0.316316,0.019336,0.42042,0.018263,,64.7505,92.0023,4.0
daytonwright6.dat,0.136272,0.276276,0.071739,0.312312,0.027715,,85.9258,91.9689,4.0
goe367.dat,0.163898,0.342342,0.046055,0.376376,0.045494,,79.6225,91.9605,5.0
s3014.dat,0.094609,0.295295,0.025665,0.394394,0.024863,7.497,77.3483,91.9602,4.0
b29tip.dat,0.090331,0.329329,0.022471,0.331331,0.025923,,59.9806,91.9006,5.0
isa962.dat,0.096419,0.23023,0.059564,0.367367,0.026427,,78.0435,91.856,5.0
cal1215j.dat,0.117258,0.298298,0.02281,0.442442,0.026351,13.9796,77.7698,91.8309,5.0
raf31.dat,0.127671,0.317317,0.020756,0.521522,0.023994,,70.447,91.8094,4.0
ag24.dat,0.084153,0.265265,0.022152,0.455455,0.024084,5.4061,73.8046,91.7743,4.0
e343.dat,0.144949,0.306306,0.039821,0.251251,0.032278,18.3875,65.0899,91.7243,10.0
goe289.dat,0.16845,0.277277,0.061214,0.406406,0.032074,,82.6223,91.6944,5.0
s2055.dat,0.07991,0.345345,0.016577,0.425425,0.022244,8.6617,64.8428,91.6431,3.0
ah93w257.dat,0.256919,0.319319,0.017882,0.768769,0.057677,8.9043,65.2984,91.5864,10.0
goe622.dat,0.080042,0.312312,0.024601,0.402402,0.016895,,69.8812,91.5829,4.0
fx79k144.dat,0.14395,0.424424,0.028189,0.419419,0.025624,11.0204,57.5512,91.5314,6.0
e544.dat,0.175212,0.411411,0.018574,0.316316,0.031948,16.1884,64.1461,91.5294,7.0
ag26.dat,0.068453,0.237237,0.0255,0.442442,0.023173,4.6391,76.3303,91.519,3.0
goe406.dat,0.117036,0.328328,0.055735,0.349349,0.039116,,76.7753,91.4651,4.0
e1210.dat,0.158592,0.22022,0.051987,0.336336,0.050874,11.7438,80.0568,91.4635,7.0
goe504.dat,0.18002,0.298298,0.054081,0.398398,0.044355,,79.3588,91.458,4.0
fx78pk188.dat,0.18825,0.447447,0.023729,0.493493,0.02961,14.6375,53.0592,91.3614,7.0
mh84.dat,0.137277,0.197197,0.04759,0.336336,0.042607,1.9588,80.4362,91.2888,7.0
sd8040.dat,0.100081,0.279279,0.026499,0.402402,0.026635,6.6118,80.7039,91.2875,5.0
sd7080.dat,0.091629,0.283283,0.024843,0.409409,0.024514,7.0463,79.4131,91.2753,5.0
e545.dat,0.174549,0.39039,0.018213,0.319319,0.032336,14.239,67.4217,91.2612,7.0
goe228.dat,0.179854,0.267267,0.070147,0.464464,0.050245,,85.5052,91.2234,4.0
e635.dat,0.116582,0.28028,0.028842,0.211211,0.030045,15.0634,64.3515,91.1853,9.0
ag27.dat,0.061143,0.218218,0.027011,0.434434,0.020053,4.3828,75.9682,91.1348,3.0
goe57.dat,0.062933,0.22022,0.051275,0.372372,0.029712,,71.5,91.0753,3.0
goe421.dat,0.190301,0.278278,0.081486,0.461461,0.058387,,73.1823,91.0457,4.0
rhodesg32.dat,0.120615,0.248248,0.060228,0.249249,0.026869,,75.786,91.0075,7.0
