Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD_3d,aoa_3d
e585,0.042565,0.416,0.146218,0.376,500000.0,0.5659,0.021382523812032622,116.8159688412853,6.0,26.465538164468224,0.0
cr1,0.047709,0.42,0.122062,0.24,500000.0,0.5745,0.02172979500146255,74.02640264026402,2.0,26.438353420330593,1.0
e334,0.040192,0.254,0.119503,0.303,500000.0,0.5252,0.019889531786811923,100.6013179571664,8.0,26.405850355323214,1.0
tsagi12,0.019338,0.3,0.119001,0.3,500000.0,0.4774,0.018084852714783675,89.5179584120983,6.0,26.397782029473966,2.0
k3,0.026228,0.746,0.173268,0.337,500000.0,0.5864,0.022227131327081616,75.94594594594595,1.0,26.382171921822778,0.0
goe505,0.058187,0.4,0.139986,0.201,500000.0,0.5613,0.021278350287673883,61.27681307456588,1.0,26.3789247009976,0.0
stcyr172,-0.0,0.075,0.1356,0.3,500000.0,0.4629,0.017554270550467207,63.828406633020904,7.0,26.369651684995816,4.0
mh102,0.03007,0.376,0.169985,0.277,500000.0,0.5326,0.020202665982374107,93.75099760574622,8.0,26.36285728154239,2.0
fx76120,-0.0,0.052,0.1207,0.279,500000.0,0.3247,0.012318169405676095,66.5684575389948,6.0,26.359436155373974,3.0
goe410,0.0,0.05,0.161,0.3,500000.0,0.4524,0.017164368796625768,61.769911504424776,9.0,26.356926104322252,4.0
goe633,0.038809,0.397,0.137934,0.201,500000.0,0.5006,0.018994537890496113,93.20967741935483,7.0,26.354944926060796,2.0
s1046,0.0,0.706,0.1699,0.308,500000.0,0.4418,0.0167794150763445,76.44578313253012,9.0,26.32988086830551,4.0
ah93k131,0.03596,0.403,0.130961,0.413,500000.0,0.5905,0.02242782985775265,115.14060742407199,6.0,26.328896007559166,2.0
ah79k135,0.030492,0.402,0.13487,0.402,500000.0,0.5021,0.01908086188865079,102.2672508214677,6.0,26.31432494664441,2.0
raf69,0.016705,0.5,0.206406,0.3,500000.0,0.4493,0.01707969090538424,72.70739064856713,8.0,26.306096667028186,3.0
goe654,0.05041,0.4,0.145015,0.3,500000.0,0.6205,0.023588323759524077,93.55947136563877,5.0,26.30538762846451,1.0
e478,-5e-06,0.969,0.15696,0.259,500000.0,0.5372,0.020426951678221325,75.31932093775262,8.0,26.298588671590604,5.0
mh115,0.055756,0.46,0.110817,0.292,500000.0,0.7441,0.028294511629740445,130.2808988764045,4.0,26.29838640571814,0.0
goe509,0.049263,0.399,0.110646,0.201,500000.0,0.4331,0.01647437306705354,51.161866931479636,1.0,26.289316032677437,0.0
naca643618,0.030341,0.55,0.179787,0.354,500000.0,0.5054,0.019225367864426027,108.74893617021277,7.0,26.288183589723403,0.0
naca643418,0.020177,0.55,0.179695,0.352,500000.0,0.4561,0.017350249122144886,100.9467989179441,7.0,26.28780698127611,1.0
goe797,0.047803,0.4,0.159979,0.3,500000.0,0.6519,0.02480450605061349,107.27810650887575,5.0,26.281515087210398,1.0
ah79k132,0.036798,0.402,0.132,0.402,500000.0,0.5513,0.021001701370770252,114.48660714285715,6.0,26.250254218321967,2.0
naca66-018,-3e-06,0.876,0.17996,0.45,500000.0,0.5494,0.02093338478085581,57.0508826583593,5.0,26.24515842762525,5.0
goe604,0.049863,0.303,0.178531,0.292,500000.0,0.5659,0.021562523812032622,86.5,6.0,26.244608698551723,1.0
nasasc2-0714,0.025378,0.819,0.139412,0.372,500000.0,0.5502,0.020966327232700303,61.66823751178134,1.0,26.242078256885932,0.0
arad10,0.038573,0.35,0.100009,0.25,500000.0,0.4495,0.0171364225977537,81.74521354933727,6.0,26.230678978407198,0.0
e431,0.042369,0.419,0.151229,0.419,500000.0,0.5714,0.021786768057275276,115.31669865642993,6.0,26.226928128937963,0.0
naca643218,0.010076,0.55,0.179639,0.351,500000.0,0.5218,0.019896223606478153,87.61729530818768,7.0,26.226082412448534,3.0
n14,0.000736,0.2,0.1148,0.3,500000.0,0.3292,0.012558362671039637,54.938351719662556,7.0,26.213608304142674,3.0
n12,0.001587,0.15,0.1046,0.3,500000.0,0.3795,0.014483302280666011,54.48005698005698,6.0,26.202587824642762,3.0
eiffel371,0.030566,0.299,0.144006,0.301,500000.0,0.4939,0.01885501477071664,69.78438661710037,7.0,26.194622810217396,2.0
e558,0.03576,0.493,0.160356,0.259,500000.0,0.4774,0.018234852714783673,99.58810068649886,8.0,26.180633727463785,0.0
ms317,0.016336,0.725,0.170082,0.376,500000.0,0.5118,0.019549158784878663,68.45083487940632,3.0,26.18015463641735,1.0
goe500,0.058922,0.5,0.100025,0.3,500000.0,0.7257,0.027721749933138324,131.66456494325348,3.0,26.178001091211957,0.0
goe358,0.05483,0.5,0.108721,0.2,500000.0,0.6771,0.025868676960755146,103.7061403508772,7.0,26.174512172664066,0.0
s102s,0.02072,0.686,0.149951,0.4,500000.0,0.4734,0.018102429637238474,81.46216768916155,4.0,26.151185751672237,1.0
fx61147,0.030626,0.339,0.14766,0.339,500000.0,0.5569,0.02130410204004857,99.06747536012129,7.0,26.140505661919477,0.0
marske1,0.026775,0.25,0.139998,0.25,500000.0,0.382,0.014624594333115703,89.09608540925267,10.0,26.120382644392752,3.0
s1020,0.0502,0.523,0.151061,0.338,500000.0,0.6913,0.026466343846073423,119.34760448521918,5.0,26.119965946961052,0.0
naca23015,0.013564,0.149,0.150085,0.299,500000.0,0.4445,0.01701902904584293,72.77137659187386,10.0,26.11782369033406,3.0
e637,0.036606,0.237,0.121027,0.276,500000.0,0.5746,0.022004098176641534,97.19183078045222,10.0,26.11331740966176,2.0
goe429,0.000905,0.1,0.113802,0.3,500000.0,0.4634,0.01775161469444203,56.92815854665566,6.0,26.104667545825503,4.0
naca653618,0.030663,0.55,0.180029,0.403,500000.0,0.5047,0.019348889350164385,109.46996466431096,7.0,26.084184516550156,0.0
naca6412,0.057099,0.397,0.120425,0.292,500000.0,0.6487,0.024878649546906897,113.50615114235502,6.0,26.074566417961034,0.0
usa45,0.039742,0.298,0.145377,0.298,500000.0,0.4733,0.018158884414070826,89.43370165745856,9.0,26.064376489629105,1.0
goe420,0.043413,0.5,0.187492,0.3,500000.0,0.4891,0.018768319080484923,88.50253807106598,6.0,26.059872378691622,0.0
naca001064,0.0,0.013,0.1,0.4,500000.0,0.2293,0.00879897096089595,48.020344287949925,5.0,26.05986552507632,2.0
naca0018,-0.0,0.025,0.18006,0.3,500000.0,0.4219,0.016195768894101074,64.94710640945861,9.0,26.05001360285322,4.0
s102b,0.020045,0.686,0.149951,0.401,500000.0,0.4758,0.018267739682593483,79.81335952848723,4.0,26.045915272887793,1.0
goe383,0.045041,0.385,0.20238,0.306,500000.0,0.4887,0.01876367233193384,87.33877551020409,5.0,26.045008213465916,0.0
sg6043,0.055469,0.497,0.10015,0.323,500000.0,0.7774,0.029871861368316162,142.02365308804207,3.0,26.02449142404483,0.0
sc20714,0.025252,0.811,0.139619,0.372,500000.0,0.5537,0.021281014055259593,58.46636771300449,1.0,26.01849698337816,0.0
fx77w121,0.045597,0.309,0.121041,0.309,500000.0,0.5364,0.020634788149392437,115.19247219846022,9.0,25.994936130022424,1.0
e838,3e-06,0.465,0.18368,0.372,500000.0,0.5722,0.022021028686530785,69.75283213182287,6.0,25.984253875932122,5.0
s1012,0.0,0.806,0.12022,0.373,500000.0,0.3115,0.011993685229842014,52.53215978334462,8.0,25.972000601194967,3.0
naca653218,0.010208,0.55,0.179993,0.401,500000.0,0.5206,0.020049380374662907,85.20325203252033,6.0,25.965889731829325,3.0
usa40b,0.038081,0.4,0.136322,0.2,500000.0,0.4867,0.018750618340643566,84.42098528470888,8.0,25.95647733627196,0.0
usnps4,0.050022,0.342,0.119418,0.342,500000.0,0.748,0.028842429948161837,94.80354879594424,1.0,25.934014621665778,1.0
e553,0.029776,0.591,0.18142,0.318,500000.0,0.4499,0.017359894970065876,98.76256767208042,8.0,25.916055412534146,0.0
dai1335,0.059209,0.407,0.142409,0.322,500000.0,0.5856,0.022612019874224447,126.35585970915312,8.0,25.897730643140303,0.0
e395,0.052574,0.511,0.122918,0.295,500000.0,0.7225,0.027908205885262043,135.98039215686273,5.0,25.888443097001186,0.0
